[SUB] Rate: 7.57 M msg/s | Last ID: 4
[SUB] Rate: 7.58 M msg/s | Last ID: 4
[SUB] Rate: 7.60 M msg/s | Last ID: 1
[SUB] Rate: 7.61 M msg/s | Last ID: 2
[SUB] Rate: 7.62 M msg/s | Last ID: 1
[SUB] Rate: 7.63 M msg/s | Last ID: 1
[SUB] Rate: 7.64 M msg/s | Last ID: 1
[SUB] Rate: 7.65 M msg/s | Last ID: 2
[SUB] Rate: 7.66 M msg/s | Last ID: 1
[SUB] Rate: 7.67 M msg/s | Last ID: 3
[SUB] Rate: 7.69 M msg/s | Last ID: 3
[SUB] Rate: 7.70 M msg/s | Last ID: 3
[SUB] Rate: 7.71 M msg/s | Last ID: 3
[SUB] Rate: 7.72 M msg/s | Last ID: 2
[SUB] Rate: 7.73 M msg/s | Last ID: 4
[SUB] Rate: 7.74 M msg/s | Last ID: 2
[SUB] Rate: 7.75 M msg/s | Last ID: 4
[SUB] Rate: 7.76 M msg/s | Last ID: 4
[SUB] Rate: 7.76 M msg/s | Last ID: 1
[SUB] Rate: 7.77 M msg/s | Last ID: 4
[SUB] Rate: 7.78 M msg/s | Last ID: 3
[SUB] Rate: 7.79 M msg/s | Last ID: 2
[SUB] Rate: 7.80 M msg/s | Last ID: 4
[SUB] Rate: 7.81 M msg/s | Last ID: 3
[SUB] Rate: 7.82 M msg/s | Last ID: 2
[SUB] Rate: 7.83 M msg/s | Last ID: 1
[SUB] Rate: 7.84 M msg/s | Last ID: 4
[SUB] Rate: 7.84 M msg/s | Last ID: 3
[SUB] Rate: 7.85 M msg/s | Last ID: 3
[SUB] Rate: 7.86 M msg/s | Last ID: 2
[SUB] Rate: 7.87 M msg/s | Last ID: 3
[SUB] Rate: 7.88 M msg/s | Last ID: 3
[SUB] Rate: 7.89 M msg/s | Last ID: 2
[SUB] Rate: 7.89 M msg/s | Last ID: 3
[SUB] Rate: 7.90 M msg/s | Last ID: 3
[SUB] Rate: 7.91 M msg/s | Last ID: 4
[SUB] Rate: 7.92 M msg/s | Last ID: 1
[SUB] Rate: 7.92 M msg/s | Last ID: 2
[SUB] Rate: 7.93 M msg/s | Last ID: 1
[SUB] Rate: 7.94 M msg/s | Last ID: 3
[SUB] Rate: 7.95 M msg/s | Last ID: 4
[SUB] Rate: 7.95 M msg/s | Last ID: 4
[SUB] Rate: 7.96 M msg/s | Last ID: 2
[SUB] Rate: 7.97 M msg/s | Last ID: 2
[SUB] Rate: 7.97 M msg/s | Last ID: 3
[SUB] Rate: 7.98 M msg/s | Last ID: 1
[SUB] Rate: 7.99 M msg/s | Last ID: 3
[SUB] Rate: 7.99 M msg/s | Last ID: 1
[SUB] Rate: 8.00 M msg/s | Last ID: 1
[SUB] Rate: 8.01 M msg/s | Last ID: 4
[SUB] Rate: 8.01 M msg/s | Last ID: 4
[SUB] Rate: 8.02 M msg/s | Last ID: 4
[SUB] Rate: 8.03 M msg/s | Last ID: 1
[SUB] Rate: 8.03 M msg/s | Last ID: 3
[SUB] Rate: 8.04 M msg/s | Last ID: 2
[SUB] Rate: 8.05 M msg/s | Last ID: 4
[SUB] Rate: 8.05 M msg/s | Last ID: 2
[SUB] Rate: 8.06 M msg/s | Last ID: 1
[SUB] Rate: 8.06 M msg/s | Last ID: 3
[SUB] Rate: 8.07 M msg/s | Last ID: 1
[SUB] Rate: 8.08 M msg/s | Last ID: 1
[SUB] Rate: 8.08 M msg/s | Last ID: 1
[SUB] Rate: 8.09 M msg/s | Last ID: 3
[SUB] Rate: 8.09 M msg/s | Last ID: 4
[SUB] Rate: 8.10 M msg/s | Last ID: 1
[SUB] Rate: 8.10 M msg/s | Last ID: 1
[SUB] Rate: 8.11 M msg/s | Last ID: 4
[SUB] Rate: 8.12 M msg/s | Last ID: 1
[SUB] Rate: 8.12 M msg/s | Last ID: 1
[SUB] Rate: 8.12 M msg/s | Last ID: 1
[SUB] Rate: 8.12 M msg/s | Last ID: 3
[SUB] Rate: 8.11 M msg/s | Last ID: 1
[SUB] Rate: 8.11 M msg/s | Last ID: 1
[SUB] Rate: 8.10 M msg/s | Last ID: 2
[SUB] Rate: 8.09 M msg/s | Last ID: 3
[SUB] Rate: 8.02 M msg/s | Last ID: 3
[SUB] Rate: 7.98 M msg/s | Last ID: 2
[SUB] Rate: 7.97 M msg/s | Last ID: 3
[SUB] Rate: 7.95 M msg/s | Last ID: 3
[SUB] Rate: 7.94 M msg/s | Last ID: 2
[SUB] Rate: 7.93 M msg/s | Last ID: 3
[SUB] Rate: 7.85 M msg/s | Last ID: 2
[SUB] Rate: 7.80 M msg/s | Last ID: 2
[SUB] Rate: 7.74 M msg/s | Last ID: 2
